Name,Gender,Month,Year,Family Background,Product Name,Product Type,Price,Shop Name,Brands,Mode of Payment,Occupation,Salary,Net Worth,Education,State,City
Caitlyn Hodge,Male,December,1982,Upper Middle Class,southern,Electronics,76.59,Turner-Martin,Brand D,Debit Card,"Teacher, primary school",124442.4,7232094.52,Master,North Carolina,Jenniferstad
Kevin Valdez,Male,June,1978,Middle Class,focus,Electronics,83.33,"Thomas, Taylor and Lewis",Brand B,Cash,Manufacturing engineer,117910.14,9694108.07,PhD,Illinois,Browntown
Chris Delgado,Female,June,2017,Upper Class,country,Grocery,103.69,Campbell Group,Brand A,Credit Card,Teaching laboratory technician,75445.51,5505637.28,Master,Rhode Island,North Aprilland
Nathan Murphy,Male,June,1994,Upper Middle Class,material,Electronics,167.47,Martinez-Goodman,Brand B,Cash,Theatre director,124647.6,5822749.36,PhD,South Dakota,East Sarah
Juan Casey,Male,August,1992,Middle Class,piece,Electronics,40.9,Foster-Powell,Brand D,Cash,"Administrator, sports",38845.13,8473048.59,Bachelor,Connecticut,Larryborough
Thomas Haley,Female,January,1980,Middle Class,my,Personal Care,13.81,Clark-Campos,Brand B,Cash,Air traffic controller,61335.33,1136777.98,High School,South Carolina,Laurenshire
Alexandra Huffman,Female,February,2012,Middle Class,majority,Electronics,42.32,Cooper-Erickson,Brand D,Cash,Chief Financial Officer,75054.95,7346652.34,Master,Oklahoma,North Alyssashire
April Friedman,Male,February,2007,Upper Class,teach,Grocery,74.21,Burch Group,Brand A,Credit Card,"Research officer, political party",148233.13,8942939.11,PhD,Maryland,North Kathleenmouth
Hannah Wood,Male,February,1984,Upper Class,than,Grocery,91.95,Jones-Ross,Brand A,Cash,Technical sales engineer,108436.22,6112444.49,PhD,Pennsylvania,Allenshire
Edward Rodriguez,Female,May,1977,Upper Class,consider,Household,39.85,"Stein, Maddox and Davis",Brand C,Cash,"Teacher, adult education",42150.94,2134949.72,Master,Illinois,Lake Clayton
Noah Murphy,Male,March,1972,Upper Class,try,Electronics,87.76,"Calderon, Singleton and Clark",Brand B,Debit Card,Theatre stage manager,96493.49,9263178.64,PhD,North Dakota,New Tracy
Ashley Holland,Female,February,1970,Middle Class,fact,Electronics,135.51,"Barber, Martinez and Castillo",Brand B,Credit Card,Geographical information systems officer,65688.08,1049567.62,PhD,Iowa,Simmonsstad
Cody Bauer,Female,November,2014,Upper Class,training,Household,118.64,"Mitchell, Morris and Scott",Brand C,Debit Card,"Psychologist, educational",130782.54,1620540.35,Master,Oregon,Aguirrefort
Olivia Robertson,Female,May,1987,Upper Class,school,Electronics,10.72,"Wilson, Rivera and Martinez",Brand B,Credit Card,Structural engineer,40515.4,8256583.34,High School,Oklahoma,South Michelle
Chad Pearson,Female,January,1977,Upper Middle Class,experience,Household,47.94,Harvey-Anthony,Brand B,Cash,Dentist,33088.28,1791238.7,Master,North Carolina,Wattshaven
Sharon Briggs,Female,June,1982,Middle Class,girl,Household,195.64,"Martinez, Bernard and Campbell",Brand D,Credit Card,Location manager,86828.48,1243538.35,Bachelor,Oregon,New Rhondashire
Andrea Daniels,Female,September,2001,Upper Middle Class,treatment,Household,99.48,Garcia LLC,Brand B,Cash,Planning and development surveyor,137385.3,2723543.53,Master,Massachusetts,Robertmouth
Tammy Kerr,Female,October,1989,Middle Class,for,Personal Care,45.13,"Blair, Baker and Brown",Brand C,Debit Card,Music therapist,136259.12,3757076.48,PhD,Arizona,Hillport
Scott Chase,Female,January,2013,Middle Class,week,Personal Care,18.48,Jones-Watson,Brand D,Cash,Banker,82768.85,2707668.02,High School,Kentucky,Jenniferside
Matthew Warren,Female,January,2005,Upper Middle Class,bar,Household,117.21,Rice LLC,Brand D,Credit Card,"Education officer, environmental",48135.68,6995062.42,PhD,Vermont,South Jamesville
Danielle Tran,Male,October,1998,Upper Class,write,Personal Care,26.28,Gates Ltd,Brand D,Credit Card,Curator,71254.97,5460345.16,PhD,Hawaii,Lake Kylie
George James MD,Male,January,1971,Upper Middle Class,difficult,Household,115.18,"Johns, Lawson and Stewart",Brand B,Cash,"Surveyor, building",130895.66,8202211.63,Master,Florida,South Leslie
Laura Duncan,Female,December,1998,Upper Middle Class,born,Household,193.47,"York, Turner and Anthony",Brand D,Cash,Press photographer,112448.15,9369978.21,Master,West Virginia,North Mark
Justin Ramirez,Male,April,1978,Upper Class,turn,Household,100.49,"Jordan, Young and Miller",Brand A,Credit Card,"Teacher, primary school",39474.61,9037494.29,Bachelor,Indiana,East Frederick
Brandon Riley,Male,February,2014,Upper Middle Class,same,Grocery,105.4,Morris LLC,Brand A,Debit Card,Radiation protection practitioner,138054.61,8024458.33,Master,Rhode Island,New Antoniomouth
Morgan Terry,Male,August,1989,Upper Middle Class,doctor,Household,32.85,Carter and Sons,Brand A,Debit Card,Agricultural engineer,120862.65,1811501.83,Bachelor,Georgia,West Michael
Brandon Coleman,Male,November,2011,Upper Middle Class,finish,Household,194.71,Bailey and Sons,Brand C,Debit Card,"Administrator, charities/voluntary organisations",127015.29,1349241.39,PhD,Idaho,East Keith
Rachel Chan,Female,November,1987,Upper Class,dream,Electronics,24.89,"Vasquez, Garrison and Bailey",Brand D,Credit Card,"Psychologist, clinical",111975.06,2099000.87,PhD,Mississippi,New Lori
Cristian Prince,Male,January,1983,Upper Middle Class,treat,Grocery,168.48,"Robinson, Jackson and Ross",Brand A,Cash,Oceanographer,60946.36,9116964.41,PhD,Florida,North Michelefort
Mark Hanson,Male,July,2001,Upper Class,station,Personal Care,26.54,Gonzalez Inc,Brand D,Cash,"Restaurant manager, fast food",96763.7,5565336.5,Bachelor,New Hampshire,West Mackenzieton
Donna Miles,Female,March,2009,Middle Class,become,Personal Care,108.74,King Inc,Brand A,Debit Card,Charity officer,140059.43,222401.59,Bachelor,Mississippi,Jonathanmouth
Steven Morris,Female,December,2005,Upper Class,full,Grocery,31.38,"Mccormick, Garza and Russell",Brand B,Debit Card,Air broker,47957.08,5709279.88,PhD,Michigan,South Lindaton
Brandon Castillo,Male,September,2014,Middle Class,system,Household,185.74,Carter and Sons,Brand C,Debit Card,Radio producer,97522.05,1099805.38,PhD,Wisconsin,East Kimberlymouth
Chelsea Cox,Female,March,1978,Upper Middle Class,matter,Grocery,174.82,Atkins Ltd,Brand B,Debit Card,Farm manager,135616.29,8791146.27,Master,Maryland,South Samantha
Kimberly Combs,Female,May,1995,Upper Middle Class,Democrat,Household,82.78,"Nelson, Brown and Ewing",Brand A,Cash,Building services engineer,88270.18,6128725.3,Master,Texas,North Andrewmouth
Kenneth Lee,Male,March,2012,Middle Class,research,Household,42.72,Herman-Gamble,Brand B,Credit Card,"Engineer, maintenance",78356.88,6220620.44,High School,Nevada,South Timothyfort
Lisa Williams,Female,December,1983,Upper Middle Class,almost,Electronics,17.37,"Ryan, Bryant and Davis",Brand D,Cash,Photographer,136748.91,3381791.35,PhD,Arizona,Aliciahaven
Karen Lee,Male,August,1984,Upper Middle Class,nearly,Electronics,19.37,Lee Ltd,Brand A,Credit Card,"Lecturer, further education",87026.18,2758985.11,Master,Louisiana,South Mollyfurt
Janet Rangel,Female,July,1980,Middle Class,left,Personal Care,13.84,Davis and Sons,Brand D,Credit Card,Chartered certified accountant,128086.31,3100244.04,Bachelor,South Dakota,South Samanthachester
James Quinn,Female,May,2000,Upper Middle Class,bad,Grocery,170.14,Wilson Inc,Brand A,Credit Card,"Radiographer, diagnostic",132988.17,6880035.07,High School,Nevada,Millerville
Brittany Knight,Male,October,1999,Upper Class,senior,Electronics,35.53,"Jackson, Stewart and Ferguson",Brand B,Debit Card,"Exhibitions officer, museum/gallery",146906.33,4486795.07,Bachelor,Michigan,Port Rebecca
Scott Ortega,Female,August,2012,Middle Class,behind,Grocery,61.19,Lee-Rivera,Brand A,Debit Card,Herpetologist,80012.73,6490992.63,Bachelor,Massachusetts,Mullinston
Dawn Hughes,Male,May,2013,Upper Middle Class,physical,Grocery,93.93,Yang Inc,Brand A,Cash,Network engineer,139611.94,4130986.57,High School,California,West Brianchester
Elizabeth Hamilton,Female,March,1986,Upper Class,born,Household,154.3,"Simon, Miller and Williams",Brand A,Cash,Sport and exercise psychologist,134062.68,8228072.18,Bachelor,Delaware,Lake Amanda
Edwin Hogan,Male,May,2013,Upper Middle Class,board,Personal Care,22.47,"Mason, Chang and Wall",Brand A,Debit Card,Orthoptist,115148.33,4093512.9,Bachelor,Rhode Island,Williamsonfort
Stacy Austin,Male,July,2001,Upper Class,treat,Personal Care,43.01,Cabrera-Wallace,Brand D,Debit Card,Occupational psychologist,135021.67,2087195.08,High School,Oregon,Thomasburgh
Ann Carlson,Male,June,2007,Middle Class,five,Household,57.4,"Bates, Harris and Gentry",Brand D,Credit Card,Equities trader,84773.84,9188507.59,Bachelor,Delaware,Hansenmouth
Matthew Berry,Male,September,2013,Upper Middle Class,far,Household,62.06,Greer-Baker,Brand C,Debit Card,Leisure centre manager,128820.76,5100751.11,PhD,Alaska,Riddlemouth
Mary Moore,Male,November,2019,Middle Class,first,Electronics,139.42,Lewis Inc,Brand A,Debit Card,Recruitment consultant,59032.57,4938988.72,High School,Alabama,South Jonmouth
Heather Shaw,Female,September,1972,Upper Middle Class,include,Electronics,43.74,Fitzgerald-Fernandez,Brand C,Credit Card,Corporate investment banker,134457.69,5910114.46,PhD,Missouri,Heatherstad
Kelly Jackson,Female,February,1979,Upper Middle Class,smile,Grocery,75.41,Waller-Wilson,Brand B,Credit Card,Marketing executive,130518.45,2660733.28,Bachelor,Nebraska,Janetborough
Aaron Watson,Male,June,1981,Upper Class,suffer,Grocery,64.16,"Burns, Hodge and Reynolds",Brand D,Cash,"Nurse, children's",76387.88,1712783.32,Bachelor,Vermont,Riddlechester
Nicholas May MD,Male,September,1980,Upper Class,sort,Household,172.85,Bailey Group,Brand C,Cash,Environmental health practitioner,107685.59,6809182.94,PhD,Maryland,Christinestad
Craig Richmond,Female,March,2012,Middle Class,send,Electronics,133.8,Ramirez-Massey,Brand A,Debit Card,Sales promotion account executive,91593.75,8659836.31,Bachelor,Connecticut,Steventon
Heather Gaines,Male,February,1993,Upper Middle Class,task,Grocery,100.08,Kane Inc,Brand B,Cash,"Engineer, civil (contracting)",45877.69,1814686.5,High School,Colorado,New Stephen
Courtney Warren MD,Male,January,1980,Upper Class,century,Personal Care,52.52,"Decker, Anderson and Davis",Brand B,Cash,Financial adviser,103001.27,9435749.18,PhD,Oregon,Port Christinemouth
Christopher Davis,Female,March,2005,Upper Middle Class,health,Electronics,90.52,"Campbell, Manning and Estrada",Brand B,Credit Card,Therapeutic radiographer,75177.05,3552221.07,Bachelor,Illinois,Wayneborough
Kelly Murphy,Female,August,1985,Upper Class,door,Grocery,51.46,Berry-Mendez,Brand D,Credit Card,"Teacher, secondary school",66257.41,5254315.19,PhD,Alabama,New Sierra
Luis Garcia,Female,August,2022,Upper Class,participant,Personal Care,121.05,Hines-Melton,Brand C,Credit Card,"Lighting technician, broadcasting/film/video",30881.71,9994350.86,Master,Idaho,West Arthurside
Ricardo Powell,Female,June,2020,Middle Class,summer,Personal Care,116.68,Hammond Group,Brand B,Cash,Hospital pharmacist,101252.71,2898501.09,PhD,Wyoming,West Amandashire
Heather Gonzales,Male,July,2022,Upper Middle Class,painting,Electronics,101.53,"Welch, Martinez and Cox",Brand B,Credit Card,Financial manager,70354.04,2837184.17,Master,Louisiana,West Shelley
Olivia Johnston,Female,October,1990,Upper Class,music,Household,173.68,"Villarreal, Jefferson and Elliott",Brand D,Cash,"Engineer, electrical",61337.63,7139828.38,High School,South Carolina,East Rachel
Robert Mendoza,Female,October,2003,Upper Class,city,Personal Care,45.79,Potts Inc,Brand B,Cash,Metallurgist,92075.23,2478990.57,Master,Wisconsin,Mcdonaldborough
Kenneth Bradley,Male,April,2008,Upper Middle Class,break,Electronics,163.03,Gonzalez-Smith,Brand B,Credit Card,"Librarian, public",126283.65,6040329.68,PhD,Washington,Bowmanberg
Eric Rich,Female,August,2007,Upper Middle Class,miss,Grocery,139.34,Harper Group,Brand A,Credit Card,Barista,116553.98,6588465.65,High School,Montana,Port Kerri
Russell Hampton,Female,January,1984,Upper Class,operation,Personal Care,59.29,Walters and Sons,Brand D,Cash,"Administrator, Civil Service",80227.88,3943921.72,PhD,Ohio,Alexanderton
Melissa Holloway,Male,October,2010,Upper Middle Class,shoulder,Grocery,120.77,Jackson PLC,Brand D,Debit Card,"Designer, television/film set",149370.45,8178545.54,Bachelor,North Carolina,West Michael
Felicia Fernandez,Female,January,1974,Upper Middle Class,cup,Household,148.04,Simpson-Stokes,Brand C,Credit Card,Dealer,56683.58,5392887.51,Bachelor,New Mexico,Jennifermouth
Crystal Perkins,Female,May,1996,Middle Class,case,Electronics,182.24,Carpenter-Gill,Brand B,Debit Card,"Engineer, site",110624.22,5122417.07,PhD,Illinois,Suzanneland
Antonio Scott,Male,May,2003,Upper Middle Class,effort,Electronics,169.72,"Smith, Harris and Calderon",Brand D,Debit Card,"Surveyor, land/geomatics",135179.37,1893244.99,High School,Kentucky,Fitzgeraldland
Jason Estes,Male,June,2022,Upper Middle Class,why,Household,99.45,Austin LLC,Brand B,Debit Card,"Radiographer, diagnostic",118910.27,7279347.71,Bachelor,Oregon,North Markhaven
Catherine Davis,Male,August,1986,Upper Middle Class,here,Electronics,189.92,Harris Inc,Brand B,Debit Card,Ergonomist,137950.94,6578902.98,High School,Alaska,Christinamouth
Victor Myers,Male,November,1984,Upper Middle Class,read,Household,77.5,"Snyder, Baxter and Cohen",Brand B,Cash,"Engineer, drilling",119305.19,3140144.19,Bachelor,Utah,West Amber
Julie Johnson,Female,August,1975,Middle Class,idea,Personal Care,80.62,Parks-Adkins,Brand A,Debit Card,Hydrographic surveyor,100268.48,4691230.22,High School,New Hampshire,Mcconnellview
Carlos Logan,Male,October,1981,Upper Middle Class,future,Personal Care,99.4,Anderson-Thompson,Brand B,Credit Card,Maintenance engineer,133967.2,5877388.74,Master,Georgia,East Jessica
Steven Trevino,Male,September,1974,Middle Class,trial,Electronics,99.72,Johnson Ltd,Brand A,Cash,Local government officer,53345.26,1286177.78,PhD,Pennsylvania,Natalieberg
Joel Hamilton,Female,September,2016,Upper Class,again,Household,110.67,"Rosales, Lopez and Gibson",Brand D,Debit Card,Energy manager,79572.87,8721406.55,Bachelor,Hawaii,Andersonburgh
Duane Baxter,Male,December,1982,Middle Class,whose,Grocery,36.1,"Hernandez, Shannon and Baxter",Brand D,Credit Card,Geophysicist/field seismologist,54035.59,4150999.28,Bachelor,Arkansas,Port Tricia
Craig Richardson,Female,July,1978,Upper Middle Class,suffer,Grocery,37.21,Newton-Price,Brand C,Cash,Higher education careers adviser,133487.27,1885532.01,Master,Hawaii,Walkermouth
Lisa Strickland,Male,March,2013,Upper Middle Class,exactly,Personal Care,102.64,Davis-Cervantes,Brand B,Debit Card,"Designer, interior/spatial",105723.93,1850560.24,Master,Idaho,Port John
Wayne Owen,Male,October,1996,Upper Class,analysis,Household,10.9,"Shields, Bennett and Howell",Brand D,Cash,Multimedia programmer,62823.34,7635813.48,High School,Missouri,Nicoleport
Diana Garcia,Male,August,2007,Upper Class,wrong,Grocery,119.49,"Delacruz, Briggs and Sanchez",Brand C,Debit Card,Haematologist,49012.21,7873587.97,PhD,Virginia,New Ninaview
Alexander West,Male,February,1992,Upper Class,Congress,Personal Care,34.59,"Middleton, Olson and Buckley",Brand D,Cash,Professor Emeritus,82045.37,4351156.26,High School,Utah,Robertmouth
Stacy Munoz,Female,April,1970,Upper Class,call,Grocery,193.41,Brown Inc,Brand B,Credit Card,Astronomer,75997.97,473480.65,Master,Florida,Port Zacharychester
Makayla Chen,Male,June,2002,Upper Middle Class,especially,Grocery,148.83,Barnes Inc,Brand D,Credit Card,"Civil engineer, contracting",144008.23,8930863.28,PhD,New Hampshire,Lindseyport
Tiffany Nguyen,Male,March,1981,Upper Class,reflect,Electronics,13.4,Brown Group,Brand A,Cash,Contractor,30494.86,7362672.09,Master,Oregon,Heatherton
Joe Cervantes,Male,July,1980,Middle Class,stand,Grocery,141.77,"Deleon, Mendez and Bond",Brand B,Cash,Forensic psychologist,71321.97,1376414.92,High School,South Dakota,North Samantha
Jeremy Gordon,Female,June,1978,Upper Class,entire,Grocery,105.63,"Kramer, Bryant and Moreno",Brand A,Credit Card,Metallurgist,66733.81,746341.52,PhD,Vermont,Hughesmouth
Michael Campbell,Male,March,2015,Middle Class,onto,Grocery,66.66,Donovan Ltd,Brand C,Cash,Media buyer,64899.34,7305535.92,Bachelor,Illinois,West Brianburgh
Shelby Martinez,Female,December,2017,Upper Middle Class,dream,Grocery,92.4,Weaver PLC,Brand C,Debit Card,Rural practice surveyor,112413.62,1424515.36,Bachelor,New Jersey,Westfort
Christina Young,Female,October,1990,Middle Class,stage,Grocery,78.26,Stewart Ltd,Brand A,Cash,Ship broker,52611.12,9486035.1,PhD,Rhode Island,Tatefort
Christopher Clayton,Female,February,1972,Upper Class,nation,Household,13.63,"Hunter, Acevedo and Beasley",Brand B,Credit Card,Horticultural therapist,56918.56,9850307.29,Master,Virginia,Mooreville
Bonnie Monroe,Male,February,1990,Upper Class,dog,Grocery,149.47,"Vasquez, Robertson and Ho",Brand A,Cash,"Therapist, music",100763.14,1772948.94,High School,Illinois,Port Jordan
Adam Washington,Female,July,2011,Upper Middle Class,bit,Grocery,145.11,Wong-Pitts,Brand D,Credit Card,Freight forwarder,125055.26,3814405.08,High School,Utah,Lanceview
Lisa Cruz,Female,December,1997,Upper Class,whether,Electronics,156.54,"Decker, Anderson and Tate",Brand A,Cash,Theme park manager,104776.17,5979848.27,Master,Colorado,Port Chaseland
Amanda Dean,Male,November,2011,Upper Class,Mrs,Grocery,135.77,Davidson Ltd,Brand D,Debit Card,Retail manager,108428.11,295443.49,High School,Minnesota,Russelltown
Cassie Mendez MD,Male,June,1981,Middle Class,only,Electronics,89.19,Floyd Inc,Brand D,Cash,Air traffic controller,75630.45,5518095.61,High School,Missouri,Michaelport
April Santos,Female,December,1988,Upper Class,that,Household,143.35,"Hernandez, Morgan and Hernandez",Brand D,Debit Card,Claims inspector/assessor,54659.39,6888826.28,Master,Maine,East Markberg
Doris Lopez,Male,January,1984,Upper Class,artist,Household,67.21,Camacho-Larsen,Brand A,Debit Card,Newspaper journalist,109399.75,6658581.36,High School,Maryland,Lake Josephmouth
Jennifer Harris,Female,June,1972,Upper Class,standard,Household,128.33,King PLC,Brand B,Cash,"Designer, textile",114087.16,4246374.94,PhD,Nevada,Jonesport
Natasha Rice,Male,June,2003,Upper Class,provide,Personal Care,107.2,Hickman Ltd,Brand D,Debit Card,Neurosurgeon,104123.75,2898797.0,High School,North Dakota,East Allison
Gary Jones,Male,January,1974,Middle Class,eight,Electronics,104.57,Young-Carrillo,Brand D,Cash,"Scientist, research (life sciences)",103080.22,7801793.27,Master,Minnesota,Ryanhaven
Sarah Weber,Male,January,1976,Middle Class,believe,Personal Care,78.01,Rodriguez-Brady,Brand C,Debit Card,Civil Service fast streamer,79170.75,1687698.63,PhD,Michigan,Anthonyfurt
Sandra Gregory,Female,December,1971,Upper Class,clear,Electronics,182.97,Davis-Rios,Brand D,Cash,"Development worker, international aid",112584.47,4858573.03,Bachelor,Wisconsin,Taylorshire
Bruce Malone,Male,April,1981,Upper Middle Class,laugh,Electronics,10.52,Brewer-Bradley,Brand D,Credit Card,Commissioning editor,110595.98,9078112.44,Bachelor,South Carolina,Lake Markside
Dawn Wright,Female,May,1987,Upper Class,sell,Grocery,38.34,Rodriguez Inc,Brand D,Credit Card,Rural practice surveyor,40809.92,5165882.93,High School,Iowa,Hunterport
Kelly Miller,Male,September,1993,Upper Middle Class,card,Grocery,181.91,Hardin-Chapman,Brand B,Credit Card,"Surveyor, planning and development",107320.41,4621837.22,Master,Mississippi,New Victorhaven
Miguel Powers,Female,October,1980,Middle Class,face,Grocery,60.18,"Washington, Smith and Powell",Brand B,Cash,"Designer, exhibition/display",36009.62,8150466.3,PhD,New Hampshire,Greenchester
Shawn Phillips,Male,July,1977,Middle Class,language,Personal Care,171.93,Wallace Group,Brand A,Debit Card,Theatre director,73225.76,6799988.67,Bachelor,Nebraska,Tiffanyland
Erica Russell,Female,September,1987,Middle Class,protect,Personal Care,150.32,Ochoa Group,Brand C,Debit Card,Trade union research officer,41399.82,7606219.65,Bachelor,New Jersey,East Stephen
Jonathan Smith,Male,November,1978,Middle Class,quite,Household,11.84,"Branch, Adams and Hoover",Brand D,Cash,"Therapist, sports",46607.33,6507266.4,Master,Connecticut,North Scottshire
Michael Hogan,Female,May,2009,Upper Class,every,Personal Care,77.93,White PLC,Brand A,Cash,IT sales professional,82525.74,6255889.63,PhD,Louisiana,Brownville
Christine Davis,Male,April,1983,Upper Class,pattern,Personal Care,80.8,Nelson-Davis,Brand D,Debit Card,Nature conservation officer,71126.73,1226936.8,High School,Oklahoma,Lake Craigburgh
Jennifer Hurley,Female,March,1991,Upper Middle Class,since,Grocery,192.84,"Ibarra, Hanson and Hudson",Brand A,Credit Card,Race relations officer,62619.97,3918583.35,Master,Utah,Fosterstad
Kenneth Castro,Female,January,1972,Middle Class,as,Electronics,161.98,Rivera Group,Brand D,Debit Card,Museum/gallery curator,107861.58,7989404.61,High School,North Carolina,Lake Laurie
Mary Smith,Male,June,1997,Middle Class,win,Personal Care,35.18,"Pollard, Smith and Livingston",Brand A,Cash,"Restaurant manager, fast food",117169.33,9817534.79,Bachelor,Illinois,Christytown
Krista May,Male,September,2021,Middle Class,happen,Grocery,29.71,Jackson Ltd,Brand B,Debit Card,Intelligence analyst,139347.21,4878481.02,High School,Florida,Kaylafurt
Tiffany Baker,Female,June,1984,Upper Class,nearly,Household,44.44,"Stokes, Snow and Prince",Brand B,Cash,Environmental consultant,75570.09,3650129.26,Master,Alaska,Kathleenstad
Kristine Johnson,Male,September,2014,Upper Class,magazine,Electronics,173.89,Ward Ltd,Brand B,Debit Card,Computer games developer,135594.03,7300058.48,PhD,Kansas,Nicholasshire
Robert Flowers,Male,February,1974,Upper Class,leave,Household,101.79,Mitchell Group,Brand D,Cash,Recycling officer,88574.73,8887179.89,High School,South Carolina,Torresmouth
Justin Harmon,Female,November,2018,Upper Middle Class,box,Personal Care,18.73,Sanchez-Estrada,Brand A,Credit Card,Lexicographer,61393.54,3210955.65,Master,Connecticut,Elliottchester
Christy Mejia,Male,December,2005,Upper Middle Class,truth,Grocery,195.8,Johnston Ltd,Brand C,Credit Card,Environmental health practitioner,110381.32,3449176.35,Bachelor,Utah,Ortizside
Dustin Blackburn,Male,December,2009,Middle Class,dinner,Electronics,92.24,Webster PLC,Brand C,Cash,"Surveyor, minerals",117198.24,4871103.81,Bachelor,Missouri,Davidfurt
Justin Davis,Female,February,2010,Upper Middle Class,hot,Personal Care,38.24,Skinner-White,Brand D,Debit Card,"Editor, magazine features",129172.54,8931412.63,PhD,Hawaii,Port Laura
Amanda Mckinney,Male,June,2020,Middle Class,bank,Electronics,12.21,Graham-Lawson,Brand A,Debit Card,Set designer,142124.57,5105118.96,PhD,New Hampshire,Tabithaport
Kurt Johnson DDS,Female,September,2014,Upper Middle Class,large,Personal Care,171.86,"Bishop, Sanders and Peters",Brand C,Credit Card,Building surveyor,134329.88,841165.9,High School,Pennsylvania,Riveraside
Kevin Morris,Female,November,1981,Middle Class,size,Household,70.92,"Franco, Deleon and Wagner",Brand A,Cash,Bookseller,69707.38,2853755.59,Master,Georgia,Palmerhaven
Jack Taylor,Male,February,2018,Upper Middle Class,six,Electronics,114.59,Gamble-Barron,Brand D,Debit Card,Civil Service fast streamer,75436.51,8189322.73,Bachelor,Florida,North Bonnie
Scott Rios,Male,September,2020,Upper Middle Class,then,Household,97.23,Marshall Group,Brand A,Debit Card,Armed forces training and education officer,126151.35,4536176.0,PhD,Indiana,Durhamshire
Richard Patel,Female,January,2016,Middle Class,or,Household,94.94,Bailey LLC,Brand B,Credit Card,"Conservation officer, nature",44244.82,5023996.15,Bachelor,Ohio,Kinghaven
Alexander Miller,Male,September,2017,Upper Middle Class,officer,Household,29.5,Boyd-Mcclain,Brand B,Cash,Medical physicist,79480.63,5615597.01,High School,Virginia,Dawnhaven
Ricky Owen,Male,February,2021,Middle Class,physical,Grocery,166.92,Williams-Stokes,Brand B,Cash,Higher education lecturer,125013.99,9635395.36,PhD,North Dakota,West Angela
Hannah Holland,Female,March,2007,Upper Middle Class,appear,Personal Care,179.12,Roberts-Jackson,Brand B,Cash,"Journalist, newspaper",97479.91,6580500.24,PhD,Nebraska,Shieldshaven
Joshua Olson,Female,April,2004,Upper Middle Class,long,Electronics,190.57,"Watkins, Warren and Gomez",Brand D,Debit Card,Clinical embryologist,73601.1,637324.61,Bachelor,Illinois,North Johnville
Tamara Martin,Male,February,1991,Upper Class,question,Household,170.42,"Willis, Elliott and George",Brand C,Credit Card,Licensed conveyancer,69836.72,7697422.36,Master,Alaska,Katherineport
Scott Collier,Female,May,1996,Upper Middle Class,father,Grocery,146.17,Garrett-Lewis,Brand C,Cash,"Designer, ceramics/pottery",73595.35,4580071.32,Bachelor,Alaska,South Markville
Ruth Clark,Male,January,2022,Upper Class,democratic,Personal Care,154.27,Gonzalez-Sloan,Brand C,Credit Card,Database administrator,56609.65,3479435.43,High School,Indiana,Fordfurt
Gregory Moore,Female,May,1981,Upper Class,edge,Grocery,114.06,Collier-Wilkerson,Brand B,Debit Card,"Therapist, art",74866.84,1152590.07,High School,Vermont,Jessemouth
Tricia Horn,Male,May,1972,Upper Class,public,Grocery,103.56,Morris Inc,Brand D,Cash,Multimedia specialist,128620.64,7450857.81,High School,Alabama,Lake John
Bradley Calderon,Female,April,1988,Upper Class,million,Household,30.32,"Robles, Myers and Wilkerson",Brand C,Debit Card,Barista,103302.21,1956679.67,PhD,New Hampshire,East Ashleyhaven
Tim Garza,Female,June,2020,Upper Middle Class,pay,Grocery,50.96,West-Young,Brand D,Credit Card,Dispensing optician,128946.5,1986729.76,High School,Wyoming,West Roy
Melissa Chung,Female,November,1992,Upper Class,student,Household,30.48,Carr-Watkins,Brand A,Debit Card,Homeopath,79736.44,9273602.65,PhD,Vermont,Gordonside
Catherine Matthews,Male,June,1970,Upper Class,east,Personal Care,156.71,Johnson LLC,Brand D,Debit Card,Comptroller,84060.55,6618721.28,Master,Colorado,East Sandra
Joan Holland,Male,June,1972,Upper Class,head,Electronics,193.13,Cruz-Marshall,Brand A,Credit Card,Occupational therapist,30520.52,7388517.91,Master,Connecticut,North Logan
James Ashley,Female,November,1995,Middle Class,quite,Household,169.38,Hancock PLC,Brand D,Cash,Herbalist,87951.84,5132495.7,High School,North Dakota,Adamhaven
Thomas Smith,Male,May,2023,Middle Class,increase,Grocery,141.45,Morris LLC,Brand D,Credit Card,Teaching laboratory technician,50838.03,8170917.13,PhD,Arizona,Thorntonborough
Brenda Davis,Male,February,1994,Middle Class,seat,Personal Care,83.61,Powell-Schultz,Brand B,Cash,Recruitment consultant,102065.52,8838689.05,PhD,Colorado,Smithstad
Beth Carey,Female,December,1998,Upper Class,large,Electronics,89.55,Hopkins-Miller,Brand C,Credit Card,"Administrator, arts",103079.24,6955903.8,PhD,South Dakota,Porterview
Eric Gates,Male,September,1992,Middle Class,lot,Personal Care,61.98,"Ortiz, Brennan and Walter",Brand C,Cash,Brewing technologist,145631.22,9707867.33,Master,Iowa,Shellytown
Scott Goodman,Female,December,2009,Upper Class,education,Electronics,162.91,Stevenson-Lewis,Brand A,Cash,Chartered loss adjuster,46581.6,6064992.05,High School,Oregon,North Lisa
Amber Mccarthy,Female,May,1984,Middle Class,follow,Electronics,170.18,"Gordon, Mckinney and Hays",Brand B,Cash,"Editor, film/video",95736.72,3207716.87,High School,Kansas,Wrightberg
